Year,"Exportaciones (FOB-US$ millons)","Exportaciones Tradicionales (FOB-US$ millons)","Exportaciones No_Tradicionales (FOB-US$ millons)","Exportaciones - Otros (FOB-US$ millons)","Importaciones (FOB-US$ millons)","Importaciones - Bienes de Consumo (FOB-US$ millons)","Importaciones - Insumos (FOB-US$ millons)","Importaciones - Bienes de Capital (FOB-US$ millons)","Importaciones - Otros Bienes (FOB-US$ millons)","Balanza  Comercial (FOB-US$ millons)"
2012,47410.6066813607,35868.7281028807,11197.0357,344.84287848,41013.5759537931,8252.052701,19273.209662,13347.38579,140.927800793114,6397.0307275676
2013,42860.6365941494,31552.9841591394,11069.4312,238.22123501,42351.8235287931,8843.271376,19527.83267,13663.645747,317.073735793113,508.81306535624
2014,39532.6828863671,27685.6430177671,11676.5293,170.5105686,41037.7893637931,8899.10141,18797.282369,12910.89706,430.508524793114,-1505.10647742596
2015,34414.3545253062,23432.1520137662,10894.645,87.55751154,37326.4289407931,8754.051344,15910.527385,12002.289029,659.561182793114,-2912.07441548695
2016,37081.7380423318,26182.9544203418,10798.2679,100.51572199,35124.0380887931,8607.545502,15022.314439,11231.584502,262.593645793114,1957.69995353872
2017,45421.5934444736,33565.8549817836,11725.3124,130.42606269,38717.7151847931,9339.236994,17902.11758,11316.460613,159.899997793114,6703.87825968051
2018,49066.4758077562,35637.7233923462,13240.1676,188.58481541,41865.5799264248,9590.514387,20515.61169,11640.932423,118.521426424852,7200.89588133134
2019,47980.4548221313,34014.3813431313,13812.3107,153.762779,41101.1715817931,9587.696855,19110.342583,12305.302349,97.8297947931135,6879.28324033816
2020,42825.6011056628,29985.1660476628,12718.9938,121.441258,34723.999964,8721.992432,15450.295572,10439.195117,112.516843,8101.60114166281
2021,63114.1184796649,46803.9876236649,16117.122,193.008856,47999.201613,10201.428189,23800.662898,13886.060376,111.05015,15114.9168666649
2022,66167.1150897795,47750.4036557795,18162.2332,254.478234,56000.712684,10973.621056,30954.103501,13993.275252,79.712875,10166.4024057795
2023,67518.1065665011,48852.6171765011,18448.2483,217.24109,49840.113785,11177.413542,24821.107499,13685.951406,155.641338,17677.9927815011
